"Family","Sample","Platform","Year","BAIT_SET","GENOME_SIZE","BAIT_TERRITORY","TARGET_TERRITORY","BAIT_DESIGN_EFFICIENCY","TOTAL_READS","PF_READS","PF_UNIQUE_READS","PCT_PF_READS","PCT_PF_UQ_READS","PF_UQ_READS_ALIGNED","PCT_PF_UQ_READS_ALIGNED","PF_BASES_ALIGNED","PF_UQ_BASES_ALIGNED","ON_BAIT_BASES","NEAR_BAIT_BASES","OFF_BAIT_BASES","ON_TARGET_BASES","PCT_SELECTED_BASES","PCT_OFF_BAIT","ON_BAIT_VS_SELECTED","MEAN_BAIT_COVERAGE","MEAN_TARGET_COVERAGE","MEDIAN_TARGET_COVERAGE","PCT_USABLE_BASES_ON_BAIT","PCT_USABLE_BASES_ON_TARGET","FOLD_ENRICHMENT","ZERO_CVG_TARGETS_PCT","PCT_EXC_DUPE","PCT_EXC_MAPQ","PCT_EXC_BASEQ","PCT_EXC_OVERLAP","PCT_EXC_OFF_TARGET","FOLD_80_BASE_PENALTY","PCT_TARGET_BASES_1X","PCT_TARGET_BASES_2X","PCT_TARGET_BASES_10X","PCT_TARGET_BASES_20X","PCT_TARGET_BASES_30X","PCT_TARGET_BASES_40X","PCT_TARGET_BASES_50X","PCT_TARGET_BASES_100X","HS_LIBRARY_SIZE","HS_PENALTY_10X","HS_PENALTY_20X","HS_PENALTY_30X","HS_PENALTY_40X","HS_PENALTY_50X","HS_PENALTY_100X","AT_DROPOUT","GC_DROPOUT","HET_SNP_SENSITIVITY","HET_SNP_Q","SAMPLE","LIBRARY","READ_GROUP","PF_BASES","MAX_TARGET_COVERAGE","MIN_TARGET_COVERAGE","PCT_EXC_ADAPTER"
"B","251","",2019,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,139792836,139792836,122665049,1,0.877477,122304865,0.997064,20700475075,18154453765,14673704278,3868616016,2158154781,8085612736,0.895744,0.104256,0.791363,243.222035,134.021999,128,0.699783,0.3856,37.802498,0.044616,0.122993,0.063432,0.017672,0.23853,0.166793,"1.970912",0.95098,0.949178,0.940516,0.927327,0.910155,0.889021,0.863387,0.654548,222201020,4.510026,4.594221,4.681223,4.779452,4.878802,5.478275,0.550436,5.837453,0.947645,13,NA,NA,NA,20968925400,1881,0,0
"B","26","ILLUMINA",2017,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,72433974,72433974,64516995,1,0.890701,64459198,0.999104,8971711084,7986068618,5877514597,1664663311,1429533176,3916241862,0.840662,0.159338,0.779286,97.421962,64.913146,53,0.649145,0.432531,34.936507,0.044385,0.109861,0.065586,0.018976,0.125149,0.243923,"2.704714",0.951567,0.947871,0.915868,0.841386,0.741975,0.63332,0.529285,0.208122,112682859,5.805252,6.14431,6.537421,7.014068,7.588993,23.27412,18.790354,0.742945,0.943983,13,NA,NA,NA,9054246750,1253,0,0
"B","27","ILLUMINA",2017,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,69421210,69421210,61102644,1,0.880173,61031472,0.998835,8606676483,7570802506,6071608688,1721481179,813586616,4030355074,0.90547,0.09453,0.779102,100.639143,66.804615,53,0.699683,0.464452,37.620914,0.044187,0.120357,0.067102,0.019069,0.119713,0.205481,"2.904548",0.951958,0.948666,0.914906,0.837533,0.737308,0.63106,0.530778,0.222978,112460551,5.767684,6.125636,6.57015,7.09421,7.75677,-1,20.021694,0.645543,0.944542,13,NA,NA,NA,8677651250,1257,0,0
"B","456","ILLUMINA",2016,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,48589044,48589044,43585646,1,0.897026,43558658,0.999381,6003733398,5381597069,4462399581,1041101334,500232483,2878242006,0.91668,0.08332,0.810829,73.965911,47.707918,41,0.734717,0.473892,39.637669,0.04644,0.103625,0.067461,0.016124,0.161385,0.172003,"2.385396",0.949251,0.945796,0.906131,0.802926,0.664562,0.522806,0.397593,0.082277,94969266,4.709566,5.002624,5.354294,5.774344,6.315525,-1,14.097762,0.995673,0.941449,12,NA,NA,NA,6073630500,726,0,0
"B","533","",2010,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,71301506,71301506,66085423,1,0.926845,65787544,0.995493,4853116665,4498607470,2800420695,583120058,1469575912,1677196598,0.697189,0.302811,0.82766,46.418001,27.800149,11,0.545497,0.326703,30.772558,0.129906,0.073048,0.131311,0.009298,0.221632,0.219129,"?",0.765391,0.684554,0.51869,0.402641,0.313507,0.245028,0.192297,0.061414,150810732,-1,-1,-1,-1,-1,-1,8.424334,3.66726,0.664775,5,NA,NA,NA,5133708432,1706,0,1e-06
"B","82","ILLUMINA",2016,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,50546618,50546618,45176562,1,0.89376,45149491,0.999401,6253006902,5585031587,4711175519,1039566192,502265191,2965707378,0.919676,0.080324,0.819229,78.089464,49.157688,42,0.745637,0.469382,40.179213,0.048318,0.106825,0.068054,0.015422,0.173669,0.161752,"2.457884",0.947796,0.944337,0.9038,0.804211,0.673103,0.536842,0.414148,0.091881,96077719,4.894879,5.210278,5.590113,6.044558,6.642798,-1,13.696778,1.321664,0.94002,12,NA,NA,NA,6318327250,690,0,0
"B","919","",2012,"SeqCap_EZ_Exome_v3_galaxyliftoverhg38_primary_targets_interval",3217346917,63408671,63408671,1,121582318,121582318,99409068,1,0.817628,99009004,0.995976,11881177264,9704759911,4467622342,2095755659,5317799263,2437763197,0.552418,0.447582,0.680689,70.457593,38.445266,34,0.367457,0.200503,19.079466,0.042946,0.183182,0.120276,0.024161,0.108687,0.358526,"2.135848",0.945406,0.937656,0.890937,0.779367,0.589867,0.398363,0.254696,0.031982,63656547,9.632325,11.318998,14.238731,22.109871,-1,-1,0.152818,8.718073,0.927422,11,NA,NA,NA,12158231800,1394,0,1e-06
"C","1273",NA,2017,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,55160772,55160772,55160772,1,1,55101909,0.998933,6826357682,6826357682,5024142152,1272559746,529655784,3808925428,0.92241,0.07759,0.797901,83.277,63.134337,44,0.728654,0.552411,39.249482,0.045939,0,0.072545,0.020415,0.163255,0.774509,"3.713785",0.949735,0.944964,0.882817,0.76758,0.647933,0.542172,0.455494,0.210727,NA,0,0,0,0,0,0,24.838172,0.577428,0.937118,12,NA,NA,NA,NA,NA,NA,NA
"C","1360",NA,2017,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,63972320,63972320,63972320,1,1,63924725,0.999256,7933110410,7933110410,5413530681,1469103773,1050475956,4214540593,0.867583,0.132417,0.786549,89.731258,69.857557,53,0.676984,0.527046,36.391349,0.045316,0,0.072006,0.014414,0.144182,0.790292,"3.175344",0.950792,0.947314,0.909522,0.827585,0.726021,0.622102,0.527216,0.237457,NA,0,0,0,0,0,0,21.374907,0.66568,0.942943,12,NA,NA,NA,NA,NA,NA,NA
"C","1474",NA,2017,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,70988630,70988630,70988630,1,1,70925495,0.999111,8793579065,8793579065,6279190439,1635430964,878957662,4819032138,0.900046,0.099954,0.793366,104.079886,79.877227,62,0.707628,0.543077,38.080183,0.046278,0,0.071362,0.012536,0.160991,0.777189,"2.852758",0.950197,0.947439,0.923279,0.866024,0.786315,0.696551,0.606179,0.287248,NA,0,0,0,0,0,0,19.463889,0.736079,0.944829,13,NA,NA,NA,NA,NA,NA,NA
